Frame,Marker_0_X,Marker_0_Y,Marker_0_Z,Marker_1_X,Marker_1_Y,Marker_1_Z,Marker_2_X,Marker_2_Y,Marker_2_Z,Marker_3_X,Marker_3_Y,Marker_3_Z,Marker_4_X,Marker_4_Y,Marker_4_Z
140,-139.62279,-20.552744,-257.6599,-822.5166,-275.48416,-391.12076,1133.3778,942.99207,951.3883,11.400001,11.6,10.2,127.0,119.0,42.0
141,-163.94557,-5.5331783,-249.53162,-815.00726,-279.02573,-375.47968,1133.644,942.70197,953.9595,11.2,10.400001,11.0,127.0,127.0,58.0
142,-190.38362,9.728931,-240.33511,-804.911,-281.6117,-358.99896,1136.1841,943.05237,956.9782,11.6,11.900001,11.1,123.0,117.0,58.0
143,-218.98514,24.409292,-230.65524,-791.93823,-284.4519,-341.77603,1141.129,944.95746,961.0438,11.1,12.2,11.2,127.0,117.0,58.0
144,-249.33322,38.34741,-220.13821,-775.39874,-287.0968,-323.6226,1148.0491,948.5144,966.06396,11.2,12.0,11.6,127.0,112.0,122.0
145,-280.39337,51.94699,-208.89055,-754.93774,-288.3122,-305.21912,1156.7974,952.3211,972.43445,11.1,12.5,11.5,127.0,97.0,122.0
146,-311.65674,68.742935,-197.61423,-730.24225,-277.47946,-287.468,1166.6412,949.59045,979.7409,9.6,5.1,11.400001,127.0,113.0,122.0
147,-343.10925,71.94921,-186.9622,-700.9618,-298.151,-270.63022,1176.757,964.6573,987.1911,11.5,10.7,11.0,127.0,107.0,126.0
148,-373.69376,78.8312,-177.03888,-667.3592,-300.5431,-254.30215,1187.7316,968.8837,993.9999,10.7,11.0,11.2,127.0,123.0,124.0
149,-402.31198,84.744415,-166.97998,-629.2373,-303.4735,-237.70728,1199.3921,973.12366,998.88654,11.5,10.7,11.2,127.0,107.0,125.0
150,-428.7743,89.76672,-156.06288,-586.2742,-306.79996,-220.07994,1211.7328,976.8882,1001.66693,11.5,11.0,12.0,127.0,123.0,117.0
151,-452.48856,94.17384,-145.51613,-539.25867,-310.78156,-208.51663,1224.7517,979.8906,1003.90283,10.6,11.2,11.0,127.0,123.0,119.0
152,-472.64218,97.93107,-133.82545,-489.28702,-315.3837,-195.94464,1237.5336,981.97723,1005.04205,11.1,11.2,11.1,127.0,91.0,127.0
153,-489.3776,100.80954,-121.33863,-436.35446,-319.87796,-182.93427,1249.7429,983.3833,1005.31036,11.5,11.1,11.400001,127.0,27.0,127.0
154,-502.7938,102.960335,-108.96462,-380.48514,-324.30304,-170.02838,1261.3251,985.448,1005.0872,11.6,11.5,11.400001,127.0,27.0,127.0
155,-512.4779,103.2926,-97.4991,-322.0442,-328.34427,-157.31552,1272.0377,987.6476,1004.514,11.2,8.0,11.7,127.0,91.0,125.0
156,-519.2186,100.672585,-86.83394,-261.50043,-331.16306,-144.95445,1281.7197,987.7972,1003.57275,11.7,11.400001,11.2,127.0,91.0,127.0
157,-518.6567,96.21049,-76.21654,-198.39403,-333.05087,-132.88785,1290.5582,987.3763,1001.90326,11.5,10.900001,11.7,127.0,123.0,127.0
158,-514.2613,90.64554,-65.46687,-134.38799,-334.29538,-120.757904,1298.1902,987.01294,999.5423,11.400001,9.400001,12.2,127.0,123.0,95.0
159,-504.35272,84.14401,-54.5338,-69.4447,-334.7559,-108.677826,1304.4069,985.1506,996.74945,11.0,11.0,12.2,127.0,123.0,95.0
160,-488.83667,76.95659,-43.07209,-4.268314,-334.079,-97.200386,1309.3667,982.9123,993.5073,11.5,11.1,12.0,127.0,123.0,31.0
161,-467.8111,69.19046,-30.88472,60.40801,-331.87067,-86.40493,1312.8508,981.1819,990.08185,11.5,11.0,11.900001,127.0,123.0,31.0
162,-442.63947,61.02435,-18.203485,124.57272,-328.27252,-75.90833,1314.9266,979.9129,987.22815,11.6,11.5,11.6,127.0,123.0,31.0
163,-410.66046,52.668026,-5.206299,184.3278,-322.99872,-65.34161,1314.4153,978.77594,985.283,11.900001,11.1,11.900001,127.0,123.0,31.0
164,-373.68842,44.34398,8.107264,241.45798,-316.53275,-55.117874,1312.3596,977.7904,983.8668,11.7,8.8,11.6,127.0,127.0,31.0
165,-331.86383,36.061764,21.759531,294.28668,-309.61905,-45.77648,1308.952,977.4897,982.52014,11.7,11.0,11.900001,127.0,123.0,15.0
166,-285.81097,27.748957,35.870396,341.0489,-301.0695,-36.678894,1303.4967,976.9743,981.14044,10.6,11.1,11.7,127.0,127.0,15.0
167,-237.9963,19.58791,50.28123,384.18146,-290.28757,-27.450636,1296.5007,975.6727,979.7337,11.2,11.0,11.400001,95.0,127.0,15.0
168,-188.47543,12.229191,64.725,422.28394,-277.18625,-18.09644,1287.1138,973.6904,978.1781,10.900001,10.900001,11.6,95.0,127.0,15.0
169,-137.96379,6.037718,79.09428,454.74127,-261.7197,-8.546686,1275.2661,970.9488,976.20184,10.6,11.6,11.5,95.0,127.0,15.0
170,-87.32093,1.0232087,93.23051,481.58127,-245.19522,0.8334113,1261.1646,967.6996,973.45526,11.1,11.900001,11.900001,95.0,127.0,15.0
171,-36.239883,-2.9174914,106.91658,503.6422,-229.32707,9.417869,1245.4218,964.29926,969.9372,9.1,11.5,11.400001,127.0,127.0,15.0
172,16.209053,-6.2248654,119.673416,521.36017,-215.06009,16.340042,1228.9075,961.1256,966.0047,10.6,11.1,11.6,127.0,125.0,31.0
173,68.946365,-9.633067,130.86777,534.0673,-202.30334,20.752823,1211.4832,958.79926,962.4548,10.1,11.5,11.5,127.0,127.0,31.0
174,120.70257,-13.59067,140.37567,541.02075,-191.5928,22.477291,1192.8156,957.3776,959.86316,9.900001,11.0,11.7,63.0,127.0,30.0
175,171.11595,-17.840696,148.45018,542.0966,-182.94617,22.956575,1173.536,956.56995,958.27295,10.6,11.5,11.2,63.0,125.0,30.0
176,219.6827,-22.080376,155.27141,537.1332,-174.71782,23.733965,1154.0626,956.73254,958.10364,9.900001,11.5,11.5,63.0,127.0,31.0
177,266.11215,-26.121288,161.31636,526.21857,-166.16254,24.897848,1134.4495,957.9516,959.37726,10.400001,11.6,11.900001,63.0,127.0,29.0
178,310.1621,-29.92784,167.21016,509.93872,-157.36824,22.07102,1115.3008,960.07074,961.7653,10.1,11.7,11.6,63.0,95.0,31.0
