mass1_x,mass1_y,mass2_x,mass2_y
1125.5626,1696.586,907.33777,1000.4812
1135.5647,1697.9913,915.5938,1002.0049
1145.631,1699.3668,923.8466,1003.699
1155.8192,1700.754,932.1329,1005.55914
1166.0814,1702.0549,940.6508,1007.4528
1176.33,1703.3083,949.1029,1009.39075
1186.5804,1704.564,957.6258,1011.3324
1196.7534,1705.7817,966.1309,1013.28076
1206.7526,1706.9873,974.58527,1015.18115
1216.6741,1708.103,983.03235,1017.0271
1226.4875,1709.2183,991.45325,1018.75116
1236.1797,1710.2662,999.85803,1020.37585
1245.7064,1711.2142,1007.80536,1021.91644
1255.1176,1712.0758,1016.1789,1023.16693
1264.3948,1712.8624,1024.6388,1024.2537
1273.5764,1713.5643,1033.1437,1025.1375
1282.687,1714.1274,1041.1691,1025.7786
1291.7174,1714.5538,1049.4547,1026.2429
1300.7504,1714.8209,1058.5773,1026.8337
1309.742,1714.958,1067.4326,1027.1757
1318.7817,1714.9866,1076.3052,1027.3983
1327.8383,1714.8456,1085.2487,1027.5117
1336.8954,1714.6138,1094.2219,1027.507
1345.9274,1714.2734,1103.2306,1027.459
1354.9752,1713.8531,1112.3157,1027.2837
1364.0427,1713.3363,1121.4126,1026.9973
1373.1191,1712.7498,1130.5623,1026.5474
1382.1573,1712.0646,1139.7687,1026.0004
1391.2269,1711.2803,1149.0547,1025.2715
1400.3163,1710.3965,1158.4265,1024.4052
1409.4429,1709.4552,1167.7816,1023.379
1418.6145,1708.439,1177.2614,1022.25366
1427.8378,1707.3707,1186.7858,1021.01935
1437.0963,1706.2623,1196.3969,1019.649
1446.3875,1705.1174,1206.0483,1018.1515
1455.7151,1703.9716,1216.2432,1016.691
1465.0963,1702.8148,1226.1097,1015.16235
1474.4764,1701.7057,1236.1267,1013.4835
1483.8566,1700.6305,1246.2274,1011.79504
1493.258,1699.6196,1256.4061,1010.1049
1502.6343,1698.6067,1266.6401,1008.33997
1512.0531,1697.6199,1277.782,1006.3779
1521.4286,1696.6462,1288.957,1004.6673
1530.8818,1695.7378,1300.3899,1003.06775
1540.377,1694.8711,1312.6497,1001.4989
1549.8041,1694.0752,1324.05,1000.14954
1559.2642,1693.3328,1336.1691,998.8747
1568.6655,1692.657,1349.0276,997.7217
1577.9711,1692.0576,1361.4518,996.6653
1587.1921,1691.5277,1373.9608,995.6215
1596.3184,1691.0709,1386.641,994.60333
1605.2825,1690.6306,1399.556,993.552
1614.1263,1690.1495,1412.6937,992.46814
1622.8807,1689.7008,1425.9955,991.4107
1631.5498,1689.34,1439.3782,990.49194
1640.1196,1689.0303,1452.6915,989.78265
1648.6195,1688.8309,1465.2911,989.41406
1657.0963,1688.8593,1477.7162,989.41534
1665.4895,1689.153,1489.5396,990.1127
1673.8248,1689.6244,1500.2268,991.4949
1682.1648,1690.3242,1510.4401,993.572
1690.5079,1691.2355,1519.9658,995.72894
1698.8519,1692.3052,1528.8749,997.6979
1707.2107,1693.488,1537.3088,999.20795
1715.5779,1694.7511,1545.3801,1000.2806
1723.9902,1696.0309,1553.2352,1001.0642
1732.458,1697.4,1561.0011,1001.8221
1740.8885,1698.8099,1568.8467,1002.68823
1749.3691,1700.2225,1576.877,1003.77014
1757.8263,1701.6519,1585.4667,1005.13086
1766.189,1703.1583,1593.8901,1006.3449
1774.4943,1704.7211,1600.9998,1007.7467
1782.707,1706.2559,1609.1366,1008.969
1790.8146,1707.8228,1617.2155,1010.2168
1798.7958,1709.4412,1624.6953,1011.6615
1806.647,1711.1177,1631.925,1013.2119
1814.4081,1712.7712,1639.2324,1014.62573
1822.0494,1714.411,1646.4594,1016.01715
1829.5792,1716.0211,1653.5934,1017.41504
1836.9872,1717.5159,1660.6884,1018.6988
1844.3163,1718.8743,1667.7683,1019.84357
1851.5033,1720.1337,1674.7465,1020.8913
1858.6251,1721.312,1681.7183,1021.8674
1865.6648,1722.3468,1688.5737,1022.70245
1872.606,1723.1644,1695.3463,1023.37445
1879.5143,1723.88,1702.1322,1023.871
1886.3713,1724.4307,1708.8014,1024.2552
1893.2136,1724.8588,1715.4401,1024.4727
1900.0381,1725.1575,1721.9231,1024.5402
1906.8488,1725.3556,1728.3986,1024.543
1913.6117,1725.4381,1734.8236,1024.5505
1920.4689,1725.3795,1741.2065,1024.4753
1927.2971,1725.1726,1747.5958,1024.348
1934.2117,1724.9335,1753.9158,1024.2339
1941.1248,1724.5939,1760.3206,1024.1301
1948.0571,1724.1339,1766.7249,1023.9068
1955.0154,1723.6168,1773.1221,1023.68835
1962.0121,1723.0098,1779.562,1023.4694
1969.0033,1722.3955,1786.0751,1023.32574
1976.0778,1721.6757,1792.5958,1023.07404
1983.1138,1720.9705,1799.241,1022.8427
1990.2528,1720.225,1805.9323,1022.61084
1997.341,1719.4478,1812.752,1022.3133
2004.435,1718.6381,1819.5773,1021.94434
2011.564,1717.9291,1826.5504,1021.55774
2018.7263,1717.1774,1833.5874,1021.2053
2025.8975,1716.3712,1840.6876,1020.80786
2033.0247,1715.4877,1847.9064,1020.4097
2040.244,1714.6401,1855.219,1020.06494
2047.4806,1713.7515,1862.6945,1019.7669
2054.7627,1712.796,1870.2119,1019.48505
2062.1306,1711.8596,1877.9033,1019.1429
2069.509,1710.8811,1885.6361,1018.8528
2076.9233,1709.9076,1893.4753,1018.61127
2084.4443,1708.9596,1901.4357,1018.3428
2091.965,1707.9944,1909.5664,1018.0914
2099.5535,1706.9935,1917.8357,1017.8724
2107.1624,1706.0085,1926.2451,1017.7503
2114.7556,1705.0752,1934.8029,1017.6356
2122.3242,1704.0188,1943.4705,1017.53326
2129.8425,1702.9967,1952.2814,1017.38324
2137.363,1702.0284,1961.235,1017.2153
2144.7837,1700.9783,1970.2434,1016.9694
2151.8716,1699.3234,1979.3325,1016.6799
2159.0813,1698.3262,1987.1165,1016.49963
2166.2666,1697.2616,1996.4255,1015.9427
2173.3489,1696.1832,2005.8105,1015.2342
2180.3398,1695.0348,2015.3794,1014.422
2187.2942,1693.7825,2025.0516,1013.5009
2194.108,1692.5762,2034.893,1012.43005
2200.8657,1691.1898,2044.6246,1011.4289
2207.5784,1689.5869,2054.7615,1010.0426
2214.283,1687.843,2065.0176,1008.5376
2220.9568,1685.9431,2075.273,1006.883
2227.6252,1684.0518,2085.442,1005.09326
2234.2659,1682.2142,2095.4429,1003.22473
2240.8464,1680.5114,2105.0815,1001.30536
2247.356,1678.8528,2114.3193,999.3726
2253.8826,1677.3025,2122.9834,997.5298
2260.3245,1675.8796,2131.1953,995.9155
2266.7224,1674.5602,2139.0276,994.6251
2273.1812,1673.3008,2146.6572,993.60077
2279.5457,1672.1531,2154.1145,992.8375
2285.832,1671.2435,2161.4822,992.253
2292.0625,1670.5149,2168.708,991.89307
2298.1528,1669.7823,2175.8877,991.7036
2304.3567,1669.4319,2183.1343,991.653
2310.4834,1669.544,2190.3281,991.902
2316.6013,1668.9379,2197.4106,992.4331
2322.6328,1669.1462,2204.4048,993.2252
2328.593,1669.4973,2211.3438,994.2105
2334.3918,1669.9421,2218.1018,995.48065
2340.0886,1670.5492,2224.7563,997.0575
2345.6677,1671.226,2231.2761,998.7618
2351.0906,1671.9961,2237.639,1000.6243
2356.3826,1672.9056,2243.8455,1002.6781
2361.5469,1673.9622,2249.9543,1004.79596
2366.5674,1675.0272,2255.9324,1007.0041
2371.4443,1676.2305,2261.8765,1009.2426
2376.2393,1677.5585,2267.727,1011.54333
2380.8977,1678.9583,2273.455,1013.8665
2385.468,1680.4207,2279.114,1016.1523
2389.9282,1681.9722,2284.665,1018.44617
2394.2295,1683.5372,2289.8071,1020.86615
2398.359,1685.1228,2295.354,1023.19
2402.3215,1686.7411,2300.657,1025.2074
2406.1384,1688.3447,2305.861,1027.2522
2409.7825,1689.983,2311.013,1029.3126
2413.2993,1691.5969,2316.1157,1031.2822
2416.633,1693.2046,2321.1323,1033.1824
2419.8823,1694.7065,2326.0984,1035.0696
2423.0212,1696.1056,2330.8796,1036.9463
2426.028,1697.3942,2335.5693,1038.7638
2428.8674,1698.5911,2339.8342,1040.563
2431.5774,1699.6918,2344.1704,1042.4402
2434.143,1700.7288,2348.4258,1043.8722
2436.592,1701.7251,2352.5842,1045.2332
2438.9417,1702.667,2356.7502,1046.5236
2441.1921,1703.5024,2360.7996,1047.6494
2443.409,1704.3357,2364.7747,1048.6144
2445.5938,1705.0203,2368.7498,1049.552
2447.799,1705.6578,2373.0737,1049.53
2449.9878,1706.24,2376.4602,1050.8002
2452.175,1706.7837,2380.404,1051.2832
2454.4016,1707.2432,2384.412,1051.4214
2456.657,1707.7028,2388.2456,1051.2567
2458.9382,1708.0759,2391.5972,1050.5706
2461.2666,1708.3359,2395.211,1049.6622
2463.564,1708.3909,2398.9,1048.5098
2465.8462,1708.3986,2402.524,1047.1124
2468.053,1708.2689,2406.0823,1045.513
2470.1084,1708.0022,2409.6504,1043.767
2472.1013,1707.636,2413.147,1041.8555
2473.9285,1707.1255,2416.5488,1039.6829
2475.592,1706.4657,2419.9558,1037.2982
2477.119,1705.7028,2423.2986,1034.611
2478.4893,1704.9045,2426.5483,1031.8046
2479.5894,1704.2162,2429.6528,1028.9615
2480.3838,1703.8954,2432.646,1026.4154
2480.8472,1703.8274,2435.7349,1024.6119
2481.2473,1703.7706,2439.112,1023.89874
2481.694,1703.7576,2442.8982,1024.1738
2482.2397,1703.7311,2446.7173,1024.7169
2482.8386,1703.5881,2449.8406,1024.9435
2483.455,1703.3185,2452.7751,1024.2139
2484.001,1702.9594,2455.3567,1024.2048
2484.4646,1702.4541,2457.5327,1024.0408
2484.908,1701.9615,2459.3962,1023.7518
2485.4265,1701.4904,2461.1726,1023.3741
2485.9688,1701.043,2462.601,1023.078
2486.6785,1700.635,2463.0513,1023.79266
2487.5972,1700.2998,2464.163,1023.8235
2488.7585,1700.0967,2465.2954,1024.0253
2490.2207,1699.9966,2466.328,1024.1792
2491.9773,1700.1542,2467.3352,1024.6448
2494.0994,1700.4462,2468.2515,1025.2498
2496.4976,1700.9004,2469.1616,1025.9021
2499.254,1701.3793,2470.0125,1026.5227
2502.2336,1701.8889,2470.8076,1027.0608
2505.516,1702.5414,2471.4978,1027.2457
2508.9265,1703.0048,2472.1729,1027.4774
2512.5337,1703.4386,2472.8057,1027.662
2516.3123,1703.6917,2473.25,1027.733
2520.1826,1703.9689,2473.672,1027.6649
2524.1765,1703.8063,2474.0796,1027.4967
2528.2542,1703.4854,2474.4585,1027.2233
2532.384,1702.7878,2474.8162,1026.8878
2536.512,1701.6561,2475.1243,1026.3768
2540.6182,1700.1063,2475.4275,1025.7343
2544.6663,1698.085,2475.7148,1024.9056
2548.5798,1695.9309,2475.911,1023.53345
2552.383,1693.2822,2476.1038,1022.2157
2556.0334,1690.1586,2476.1077,1020.5963
2559.6123,1686.4532,2476.1304,1018.63306
2563.2017,1682.0801,2476.1506,1016.27405
2566.731,1676.9489,2476.1064,1013.4488
2570.2566,1671.1779,2476.2,1009.98364
2573.6824,1664.7968,2476.3523,1005.94727
2576.9524,1657.9867,2476.644,1001.2903
2580.071,1650.5973,2477.1387,996.0906
2583.0417,1642.98,2477.672,990.49414
2585.7742,1635.1498,2478.1504,984.7844
2588.1616,1627.1599,2478.2664,979.23926
2590.2068,1619.0353,2477.9756,973.8616
2591.829,1610.6782,2477.431,968.8571
2593.0723,1602.2163,2476.749,964.3714
2593.8728,1593.5177,2476.2422,960.5135
2594.1702,1584.7444,2475.8958,957.1657
2593.8083,1575.8218,2476.0625,953.6591
2592.947,1566.8757,2476.5571,950.1601
2591.5278,1557.9536,2477.381,946.54736
2589.5195,1549.0702,2478.3386,942.931
2586.806,1540.3201,2479.3967,939.42126
2583.1765,1531.5514,2480.384,935.94165
2578.7036,1522.243,2481.306,932.494
2573.7449,1513.4257,2482.1511,929.0643
2567.0178,1505.3579,2482.9143,925.63574
2558.4167,1498.078,2483.624,922.1155
2549.3003,1491.3429,2484.2407,918.4974
2539.3083,1484.0312,2484.8667,914.7748
2528.3264,1476.8008,2485.4104,910.934
2516.45,1469.6953,2485.7666,906.952
2503.6711,1462.808,2485.906,902.89526
2490.103,1456.0948,2485.8406,898.7773
2475.8948,1449.6549,2485.6184,894.6203
2461.1106,1443.4258,2485.2898,890.42487
2445.8667,1437.4066,2484.8604,886.1934
2430.2195,1431.57,2484.394,881.86945
2414.1472,1425.7899,2483.8645,877.42474
2397.6133,1420.0609,2483.194,872.9178
2380.626,1414.3383,2482.3633,868.3425
2363.1445,1408.5385,2481.303,863.7727
2345.171,1402.6948,2480.0085,859.1685
2326.827,1396.7358,2478.5232,854.60297
2308.1943,1390.6158,2476.9417,850.08154
2289.37,1384.1594,2475.2249,845.6611
2270.2288,1377.684,2473.3994,841.25934
2250.8462,1370.9768,2471.4617,836.8854
2231.1982,1363.9204,2469.3115,832.5177
2211.4062,1356.5046,2466.9734,828.1961
2191.4668,1348.6344,2464.4001,823.94806
2171.4497,1340.4504,2461.6511,819.7674
2151.3591,1331.9014,2458.7961,815.6727
2131.1375,1323.1335,2456.144,811.59906
2110.1948,1314.4694,2453.133,807.9792
2090.0642,1305.214,2450.2417,804.1435
2069.9084,1295.5289,2447.3518,800.33136
2049.7666,1285.4777,2444.4473,796.7239
2029.5754,1275.0117,2441.528,793.23193
2009.317,1264.0989,2438.571,789.973
1989.0635,1252.7363,2435.477,786.9597
1968.851,1240.9009,2432.3108,784.3126
1948.8237,1228.5897,2429.12,782.1079
1929.0667,1215.6359,2425.7598,780.32074
1909.7097,1202.1432,2422.5776,779.0652
1890.7302,1187.8953,2419.18,778.26263
1872.2072,1173.0452,2415.6323,777.98035
1854.8336,1157.7142,2411.8757,778.1641
1837.6183,1141.7925,2407.842,778.82806
1821.0482,1125.2916,2403.283,780.345
1805.2214,1108.3583,2398.2725,781.9544
1790.2046,1090.9044,2392.789,783.77344
1776.1132,1072.987,2386.7456,786.0255
1762.9956,1054.6412,2380.1812,788.75793
1750.5764,1036.3268,2372.952,791.9619
1738.9485,1017.8383,2365.0203,795.5626
1728.031,999.2198,2356.3892,799.311
1717.7675,980.5236,2346.9658,803.0742
1708.107,961.729,2336.688,806.9279
1698.9844,942.82324,2325.7437,810.8293
1690.5099,923.7593,2314.2266,814.7772
1682.722,904.565,2302.2832,818.7698
1675.6095,885.2288,2290.0525,822.69794
1669.0413,865.7803,2277.5862,826.5679
1662.6388,846.4314,2264.8838,830.23175
1656.6235,827.1574,2251.8157,833.80756
1651.2343,808.04535,2238.4624,837.01105
1645.6497,789.07855,2224.6836,839.69135
1640.171,770.309,2210.549,841.70355
1634.8304,751.8792,2195.9673,843.26483
1629.4681,733.843,2181.1516,844.31116
1624.182,716.1219,2166.0886,845.0216
1619.117,698.6624,2150.9607,845.4775
1614.3112,681.3587,2135.8901,845.8042
1609.9948,664.2019,2120.9292,846.0518
1606.2809,647.3219,2106.1396,846.05817
1603.1221,630.7769,2091.692,845.8968
1600.4275,614.498,2077.5874,845.5718
1598.245,598.4767,2063.9404,845.34485
1596.4957,582.7492,2050.6433,845.3
1595.3539,567.0761,2037.7123,845.8719
1594.9235,551.866,2025.1262,847.1396
1595.083,537.09814,2012.6361,849.59076
1595.8673,522.8432,2000.1855,853.39
1597.2612,509.02948,1987.6414,858.78424
1599.6948,495.79938,1974.9346,865.66003
1603.1632,483.35437,1962.2828,873.4328
1607.3818,471.8556,1949.8148,881.33954
1611.9078,461.56717,1937.5251,888.8544
1616.1624,452.88794,1925.5232,895.81085
1619.859,445.7464,1913.7537,902.17914
1623.0316,439.79324,1902.464,907.74396
1625.8934,434.775,1891.6965,912.5261
1628.5775,430.4593,1881.3026,916.5349
1631.1205,426.63208,1871.0806,919.7748
1633.4662,423.123,1860.8857,922.13324
1635.5042,419.9461,1850.549,923.9352
1637.0712,417.05188,1840.0659,925.5178
1638.3162,414.3648,1829.3561,927.1015
1639.5485,411.64304,1818.4125,928.98267
1641.0116,408.76245,1806.9059,931.42816
1642.8335,405.58258,1794.6096,934.3632
1644.9395,401.9354,1781.5255,937.311
1647.1864,397.79315,1767.9742,939.947
1649.3792,393.45956,1754.1263,942.08966
1651.3832,389.24368,1740.1165,943.47504
1653.3506,386.00513,1726.2908,943.8095
1654.8837,382.05435,1712.8417,943.1566
1656.0864,378.20685,1699.8574,941.8583
1656.8821,374.44806,1687.3862,940.1332
1657.0317,370.6603,1675.4397,938.05054
1656.6626,366.79047,1663.9697,935.76685
1655.7961,362.8436,1652.9834,933.5034
1654.6359,358.8066,1642.5243,931.5995
1653.332,354.78598,1632.5001,929.94464
1652.0659,351.07098,1623.2412,929.5454
1650.7551,347.9419,1614.3854,929.4438
1649.2179,345.55984,1605.9746,929.7391
1647.2487,343.63763,1598.0198,930.17194
1644.8622,341.9196,1590.5449,930.70447
1642.0085,340.52722,1583.479,931.4579
1638.7955,339.4745,1577.0146,932.65283
1635.2789,338.8446,1570.6705,934.2866
1631.476,338.54657,1564.6432,936.3116
1627.5674,338.53412,1558.98,938.7899
1623.5469,338.66632,1553.6497,941.81824
1619.5333,339.06128,1548.5903,945.3766
1615.4478,339.71347,1543.6531,949.4651
1611.3126,340.60016,1538.6758,954.0025
1607.1309,341.67816,1533.6495,958.9287
1603.038,342.8058,1528.4733,963.83887
1599.1117,343.91364,1523.0612,968.8761
1595.3983,345.07245,1517.1882,973.8852
1591.821,346.42123,1510.7765,978.82025
1588.4907,348.05795,1503.8373,983.725
1585.4956,350.0514,1496.4197,988.3337
1582.8926,352.2971,1488.6083,992.917
1580.6915,354.70132,1480.4768,997.7126
1578.8011,357.094,1472.0895,1002.6324
1577.171,359.49234,1463.3654,1007.66095
1575.63,361.94336,1454.1725,1012.69855
1574.216,364.43057,1444.4563,1017.5647
1572.8342,366.97635,1434.262,1022.1896
1571.5223,369.5988,1423.6082,1026.5457
1570.2202,372.3438,1412.377,1030.5503
1568.9888,375.2484,1400.6196,1034.0826
1567.9478,378.24713,1388.3995,1037.1926
1567.078,381.3735,1375.7808,1039.8464
1566.2795,384.67334,1362.8684,1042.1614
1565.6138,388.02994,1349.5973,1043.5713
1565.0671,391.45905,1336.2424,1044.3196
1564.6829,395.0235,1322.9651,1044.5698
1564.5687,398.74966,1309.9108,1044.2775
1564.8549,402.78177,1297.1299,1043.5619
1565.4829,407.0686,1284.6849,1042.4392
1566.4915,411.62628,1272.7139,1040.9595
1567.63,416.39362,1260.9254,1039.0056
1568.828,421.19217,1249.1421,1036.6324
1570.2291,426.3138,1237.3585,1033.9037
1571.8708,431.85242,1225.2898,1030.8281
1573.9906,437.94965,1212.8127,1027.3774
1576.7,444.6834,1199.7557,1023.5663
1580.0608,452.00504,1186.1493,1019.2656
1583.9467,459.911,1172.1714,1014.72064
1588.1979,468.2391,1158.2632,1010.44867
1592.5531,477.13126,1144.8033,1006.6644
1596.7643,486.9988,1131.8668,1003.5381
1600.4758,498.10828,1119.6536,1001.06635
1603.9098,510.07166,1108.1171,999.33984
1607.2134,522.66266,1096.8164,998.2391
1609.8246,536.0835,1085.3132,997.8285
1611.6555,551.1421,1073.4939,998.26215
1612.668,566.92633,1061.29,999.63666
1612.8444,582.9344,1048.4888,1001.50336
1612.3236,599.05304,1035.0363,1003.5868
1611.2749,615.17084,1020.9137,1005.98987
1609.7123,631.345,1006.0995,1008.4931
1607.8004,647.6586,990.8247,1010.8941
1605.5575,664.4677,975.1841,1013.30585
1603.0094,681.6085,959.25903,1015.5448
1600.4606,699.1889,943.2237,1017.3364
1597.468,717.76117,927.0959,1018.88873
1593.8202,737.56824,910.9585,1020.25885
1589.6604,758.1521,894.8914,1021.75854
1585.0851,779.445,879.03894,1022.55774
1579.9668,801.637,863.43,1023.0048
1574.2356,824.8576,848.02014,1023.38214
1568.0203,848.818,832.8049,1023.4716
1561.2008,873.33844,817.8009,1023.0741
1553.5724,898.39636,803.01154,1022.4397
1545.0308,923.75934,788.4638,1021.8883
1535.4377,949.1013,774.22565,1020.90247
1525.1245,974.3958,760.39087,1019.4724
1513.6534,999.6488,747.07587,1017.71155
1501.2125,1024.8698,734.2743,1015.74066
1487.7942,1049.9093,722.0707,1013.8
1473.3651,1074.6987,710.49634,1011.80865
1457.9196,1099.2678,699.3323,1009.7821
1441.4058,1123.522,688.5261,1007.62036
1423.8466,1147.5021,678.0557,1005.275
1405.3136,1171.1776,667.81775,1002.9163
1386.3502,1194.813,657.8308,1000.62085
1366.3904,1218.001,648.1788,998.38934
1345.6564,1240.381,638.8973,996.3318
1324.3033,1261.9989,630.0995,994.59064
1302.4155,1282.9332,621.6509,993.6115
1280.2891,1303.6523,613.30853,994.05457
1258.9073,1324.5988,605.9571,994.85455
1238.1342,1345.2323,600.3665,996.538
1217.0023,1364.7085,596.58405,999.25867
1195.2869,1382.8848,593.44293,1002.42737
1172.8622,1400.1398,589.9706,1005.9344
1149.489,1416.5452,586.0254,1009.9051
1125.5289,1431.7758,581.81,1013.2415
1101.8062,1446.1157,577.43964,1015.36865
1078.0486,1459.9619,572.8598,1017.44556
1054.5828,1473.0468,568.0011,1019.5012
1031.1047,1485.7003,562.7639,1021.59454
1008.0845,1497.6134,557.4934,1023.3959
985.4657,1509.0984,552.61664,1024.8794
963.44727,1520.069,548.2558,1026.0283
941.9083,1530.5199,544.36786,1026.9172
920.9257,1540.6156,540.8784,1027.8488
900.4518,1550.5814,537.66046,1029.1704
880.37384,1560.2358,534.7167,1030.8215
860.71967,1569.3728,532.10425,1032.4119
841.40955,1577.8643,529.7331,1033.8176
822.53046,1585.6047,527.4444,1035.0153
803.8758,1592.8097,525.15106,1035.9658
786.1238,1599.5837,522.7391,1036.5806
769.13104,1605.7694,520.2203,1037.0533
753.0864,1611.9879,517.6534,1037.4221
737.45667,1617.7437,515.23395,1037.4348
722.49005,1622.7087,512.8825,1037.053
708.3255,1626.9945,510.6242,1036.5948
694.91174,1630.6748,508.34137,1036.2358
682.5036,1634.0891,505.9334,1035.8848
670.96094,1637.3354,503.60754,1035.6816
660.26874,1640.4766,502.13333,1035.0647
650.426,1643.3981,500.43958,1034.5697
641.2743,1646.2238,498.87665,1034.1669
632.8418,1648.9214,497.46616,1034.0023
624.97577,1651.6107,496.02823,1034.0582
617.6731,1654.1895,494.66446,1034.1743
610.88336,1656.606,493.4308,1034.1012
604.70795,1658.8198,492.3615,1033.9053
599.11005,1660.8784,491.47815,1033.6791
594.0266,1662.8981,490.64862,1033.5024
589.42065,1664.798,490.0066,1033.3994
585.3031,1666.5734,489.6051,1033.3358
581.7029,1668.1115,489.4201,1033.2045
578.586,1669.432,489.46863,1032.9031
576.0565,1670.5596,489.8065,1032.6053
574.0715,1671.5055,490.50235,1032.271
572.60004,1672.3754,491.45966,1032.0299
571.6629,1673.1488,492.61844,1031.377
571.247,1673.7069,494.29602,1030.8303
571.284,1674.1129,496.27527,1030.0175
571.77496,1674.3042,498.478,1029.021
572.7333,1674.3059,500.85602,1027.8787
574.16833,1674.0762,503.3527,1026.7528
575.99835,1673.7549,505.9529,1025.6418
578.20264,1673.319,508.7874,1024.4695
580.73364,1672.8209,511.7254,1023.21295
583.55084,1672.3175,514.7341,1022.001
586.56055,1671.9423,517.7342,1020.88446
589.73474,1671.7164,520.66345,1019.8667
593.0814,1671.5945,523.52057,1019.01294
596.5947,1671.5624,526.34973,1018.49133
600.3631,1671.5883,529.0297,1017.90985
604.3434,1671.6908,531.777,1017.6083
608.49097,1671.8613,534.6893,1017.56415
612.74396,1672.1422,537.7419,1017.71606
617.0707,1672.4984,541.0108,1018.1117
621.3708,1672.8833,544.55585,1018.5765
625.6999,1673.2714,548.3512,1019.04724
630.04974,1673.6323,552.2501,1019.6752
634.3771,1673.9698,556.2569,1020.4164
638.6859,1674.25,560.2624,1021.27155
642.88654,1674.503,564.1871,1022.0962
647.0437,1674.739,567.97156,1022.971
651.12787,1674.8835,571.4918,1023.76825
655.09406,1674.9244,574.7115,1024.5902
658.9901,1674.8289,577.58685,1025.4995
662.82153,1674.6206,580.12616,1026.5568
666.49603,1674.2528,582.41815,1027.7062
670.0516,1673.7609,584.50714,1028.8202
673.3817,1673.1918,586.4013,1029.9573
676.4949,1672.5334,588.14307,1031.0969
679.31866,1671.8281,589.7447,1032.2863
681.88,1670.98,591.08405,1033.4498
684.1576,1670.1154,592.1199,1034.5282
686.17645,1669.1667,593.01276,1035.6718
687.9201,1668.0997,593.69574,1036.7112
689.40546,1666.9095,594.2292,1037.6459
690.699,1665.6024,594.6528,1038.553
691.7739,1664.1818,595.01306,1039.3405
692.58167,1662.5983,595.36896,1040.0559
693.1129,1660.8584,595.76843,1040.6711
693.28577,1658.9907,596.0527,1041.0312
693.0625,1656.9528,596.4179,1041.3202
692.4239,1654.7853,596.7099,1041.6833
691.33405,1652.4794,596.8672,1041.9222
689.8555,1650.0516,596.8871,1042.0306
687.9179,1647.4563,596.9262,1041.9406
685.53656,1644.7134,596.8621,1041.6824
682.7461,1641.7955,596.7165,1041.2694
679.4825,1638.6812,596.50616,1040.7665
675.6828,1635.397,596.18286,1040.0863
671.34875,1631.913,595.7141,1039.2526
666.47876,1628.3429,595.0997,1038.2233
661.0476,1624.6769,594.42334,1036.9851
655.0812,1621.0271,593.64886,1035.4889
648.54,1617.3732,592.844,1033.7753
641.3752,1613.7505,591.9762,1031.9148
633.6683,1610.1874,591.1407,1029.8381
